question_id,question,paper,page,passage,relevant,confidence,reason
4,"What are the main differences between RAG-Sequence and RAG-Token, and how do they affect the documents used during generation?",Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,6,"BART generations (see §4.5). 4.3 Jeopardy Question Generation Table 2 shows that RAG-Token performs better than RAG-Sequence on Jeopardy question generation, with both models outperforming BART on Q-BLEU-1. 4 shows human evaluation results, over 452 pairs of generations from BART and RAG-Token. Evaluators indicated that BART was more factual than RAG in only 7.1% of cases, while RAG was more factual in 42.7% of cases, and both RAG and BART were factual in a further 17% of cases, clearly demonstrating the effectiveness of RAG on the task over a state-of-the-art generation model. Evaluators also ﬁnd RAG generations to be more speciﬁc by a large margin. Table 3 shows typical generations from each model. Jeopardy questions often contain two separate pieces of information, and RAG-Token may perform best because it can generate responses that combine content from several documents. Figure 2 shows an example. When generating “Sun”, the posterior is high for document 2 which mentions “The",1,high,"The passage provides meaningful evidence that RAG-Token can combine content from several documents during generation, a key distinction from RAG-Sequence, though it does not fully explain both models."
4,"What are the main differences between RAG-Sequence and RAG-Token, and how do they affect the documents used during generation?",Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,3,"is marginalized to get the seq2seq probability p(y|x) via a top-K approximation. Concretely, the top K documents are retrieved using the retriever, and the generator produces the output sequence probability for each document, which are then marginalized, pRAG-Sequence(y|x) ≈ ∑ z∈top-k(p(·|x)) pη(z|x)pθ(y|x,z ) = ∑ z∈top-k(p(·|x)) pη(z|x) N∏ i pθ(yi|x,z,y 1:i−1) RAG-Token Model In the RAG-Token model we can draw a different latent document for each target token and marginalize accordingly. This allows the generator to choose content from several documents when producing an answer. Concretely, the top K documents are retrieved using the retriever, and then the generator produces a distribution for the next output token for each document, before marginalizing, and repeating the process with the following output token, Formally, we deﬁne: pRAG-Token(y|x) ≈ N∏ i ∑ z∈top-k(p(·|x)) pη(z|x)pθ(yi|x,z,y 1:i−1)",1,high,"The passage directly contrasts RAG-Sequence, which uses one latent document for the entire output sequence, with RAG-Token, which can select and marginalize over different documents for each generated token, allowing content from multiple documents."
5,How does GPT-3 demonstrate that large language models can perform tasks from natural-language descriptions and a few examples without gradient-based updates?,Language Models are Few-Shot Learners,1,"a few examples or from simple instructions – something which current NLP systems still largely struggle to do. Here we show that scaling up language models greatly improves task-agnostic, few-shot performance, sometimes even reaching competitiveness with prior state-of-the-art ﬁne- tuning approaches. Speciﬁcally, we train GPT-3, an autoregressive language model with 175 billion parameters, 10x more than any previous non-sparse language model, and test its performance in the few-shot setting. For all tasks, GPT-3 is applied without any gradient updates or ﬁne-tuning, with tasks and few-shot demonstrations speciﬁed purely via text interaction with the model. GPT-3 achieves strong performance on many NLP datasets, including translation, question-answering, and cloze tasks, as well as several tasks that require on-the-ﬂy reasoning or domain adaptation, such as unscrambling words, using a novel word in a sentence, or performing 3-digit arithmetic. At the same",1,high,"The passage directly explains that GPT-3 performs tasks from textual instructions and few-shot demonstrations without gradient updates or fine-tuning, and supports this with results across translation, question answering, cloze, reasoning, and arithmetic tasks."
5,How does GPT-3 demonstrate that large language models can perform tasks from natural-language descriptions and a few examples without gradient-based updates?,Language Models are Few-Shot Learners,34,"possibly from data that is very different in organization and style than the test data. Ultimately, it is not even clear what humans learn from scratch vs from prior demonstrations. Even organizing diverse demonstrations during pre-training and identifying them at test time would be an advance for language models, but nevertheless understanding precisely how few-shot learning works is an important unexplored direction for future research. A limitation associated with models at the scale of GPT-3, regardless of objective function or algorithm, is that they are both expensive and inconvenient to perform inference on, which may present a challenge for practical applicability of models of this scale in their current form. One possible future direction to address this is distillation [HVD15] of large models down to a manageable size for speciﬁc tasks. Large models such as GPT-3 contain a very wide range of skills,",0,high,"The passage discusses limitations, inference costs, and uncertainty about how few-shot learning works, but does not explain or provide evidence of GPT-3 performing tasks from descriptions or examples without gradient updates."
5,How does GPT-3 demonstrate that large language models can perform tasks from natural-language descriptions and a few examples without gradient-based updates?,Language Models are Few-Shot Learners,40,"Algorithmic innovation in language models over the last two years has been enormous, including denoising-based bidirectionality [DCLT18], preﬁxLM [DL15] and encoder-decoder architectures [LLG+19, RSR+19], random permu- tations during training [YDY+19], architectures that improve the efﬁciency of sampling [DYY+19], improvements in data and training procedures [LOG+19], and efﬁciency increases in the embedding parameters [LCG+19]. Many of these techniques provide signiﬁcant gains on downstream tasks. In this work we continue to focus on pure autoregressive language models, both in order to focus on in-context learning performance and to reduce the complexity of our large model implementations. However, it is very likely that incorporating these algorithmic advances could improve GPT-3’s performance on downstream tasks, especially in the ﬁne-tuning setting, and combining GPT-3’s scale with these algorithmic techniques is a promising direction for future work. 8 Conclusion",0,high,The passage mentions GPT-3's focus on in-context learning but does not explain or provide results showing how it performs tasks from descriptions and examples without gradient updates.
6,How does T5's text-to-text formulation allow the same model and training framework to be applied to different NLP tasks?,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,3,"“T5” refers to our model, which we dub the “Text-to-Text Transfer Transformer”. summarization, and sentiment classification, to name a few. With this unified approach, we can compare the effectiveness of different transfer learning objectives, unlabeled data sets, and other factors, while exploring the limits of transfer learning for NLP by scaling up models and data sets beyond what has previously been considered. We emphasize that our goal is not to propose new methods but instead to provide a comprehensive perspective on where the field stands. As such, our work primarily comprises a survey, exploration, and empirical comparison of existing techniques. We also explore the limits of current approaches by scaling up the insights from our systematic study (training models up to11 billion parameters) to obtain state-of-the-art results in many of the tasks we consider. In order to perform experiments at this scale, we introduce the “Colossal Clean",1,medium,"The passage identifies T5's unified text-to-text approach and indicates that it handles multiple tasks such as summarization and sentiment classification within one framework, though it does not fully explain how inputs and outputs are represented as text."
6,How does T5's text-to-text formulation allow the same model and training framework to be applied to different NLP tasks?,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,41,"with the findings in Section 3.6, we find that additional pre-training improves performance over the baseline. Nevertheless, T5-Base substantially outperforms baseline-1T on all downstream tasks. This suggests that scale is not the only factor that contributes to T5’s success. We hypothesize that the larger models benefit not only from their increased size but also from these non-scaling factors. 4. Reflection Having completed our systematic study, we wrap up by first recapping some of our most significant findings. Our results provide some high-level perspective on which avenues of research might be more or less promising. To conclude, we outline some topics we think might provide effective approaches for further progressing the field. 4.1 Takeaways Text-to-text Our text-to-text framework provides a simple way to train a single model on a wide variety of text tasks using the same loss function and decoding procedure.",1,high,"The passage directly explains that T5 casts varied text tasks into one text-to-text framework, enabling a single model to use the same loss function and decoding procedure across tasks."
6,How does T5's text-to-text formulation allow the same model and training framework to be applied to different NLP tasks?,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,2,"2019), or span extraction Keskar et al. (2019b) tasks. Crucially, the text-to-text framework allows us to directly apply the same model, objective, training procedure, and decoding process to every task we consider. We leverage this flexibility by evaluating performance on a wide variety of English-based NLP problems, including question answering, document 2. http://commoncrawl.org 2",1,high,"The passage directly states that representing tasks in a text-to-text framework enables T5 to use the same model, objective, training procedure, and decoding process across all tasks."
7,"Why does LoRA argue that the changes required when adapting a large language model have low intrinsic rank, and how does its approach exploit this observation?",LoRA: Low-Rank Adaptation of Large Language Models,1,"LORA: L OW-R ANK ADAPTATION OF LARGE LAN- GUAGE MODELS Edward Hu∗ Yelong Shen∗ Phillip Wallis Zeyuan Allen-Zhu Yuanzhi Li Shean Wang Lu Wang Weizhu Chen Microsoft Corporation {edwardhu, yeshe, phwallis, zeyuana, yuanzhil, swang, luw, wzchen }@microsoft.com yuanzhil@andrew.cmu.edu (Version 2) ABSTRACT An important paradigm of natural language processing consists of large-scale pre- training on general domain data and adaptation to particular tasks or domains. As we pre-train larger models, full ﬁne-tuning, which retrains all model parameters, becomes less feasible. Using GPT-3 175B as an example – deploying indepen- dent instances of ﬁne-tuned models, each with 175B parameters, is prohibitively expensive. We propose Low-Rank Adaptation, or LoRA, which freezes the pre- trained model weights and injects trainable rank decomposition matrices into each layer of the Transformer architecture, greatly reducing the number of trainable pa-",1,high,"The passage explains how LoRA exploits low-rank adaptation by freezing pretrained weights and adding trainable low-rank decomposition matrices, though it does not fully state the evidence for the low-intrinsic-rank hypothesis."
7,"Why does LoRA argue that the changes required when adapting a large language model have low intrinsic rank, and how does its approach exploit this observation?",LoRA: Low-Rank Adaptation of Large Language Models,2,"often introduce inference latency (Houlsby et al., 2019; Rebufﬁ et al., 2017) by extending model depth or reduce the model’s usable sequence length (Li & Liang, 2021; Lester et al., 2021; Ham- bardzumyan et al., 2020; Liu et al., 2021) (Section 3). More importantly, these method often fail to match the ﬁne-tuning baselines, posing a trade-off between efﬁciency and model quality. We take inspiration from Li et al. (2018a); Aghajanyan et al. (2020) which show that the learned over-parametrized models in fact reside on a low intrinsic dimension. We hypothesize that the change in weights during model adaptation also has a low “intrinsic rank”, leading to our proposed Low-Rank Adaptation (LoRA) approach. LoRA allows us to train some dense layers in a neural network indirectly by optimizing rank decomposition matrices of the dense layers’ change during adaptation instead, while keeping the pre-trained weights frozen, as shown in Figure 1. Using GPT-3",1,high,"The passage directly explains that prior work found over-parameterized models lie in a low intrinsic dimension, motivating the hypothesis that adaptation weight changes have low intrinsic rank. It also states that LoRA exploits this by freezing pretrained weights and optimizing low-rank decomposition matrices for the weight updates."
7,"Why does LoRA argue that the changes required when adapting a large language model have low intrinsic rank, and how does its approach exploit this observation?",LoRA: Low-Rank Adaptation of Large Language Models,10,"Table 6 shows that, surprisingly, LoRA already performs competitively with a very small r (more so for{Wq,Wv} than just Wq). This suggests the update matrix ∆W could have a very small “intrinsic rank”.6 To further support this ﬁnding, we check the overlap of the subspaces learned by different choices of r and by different random seeds. We argue that increasing r does not cover a more meaningful subspace, which suggests that a low-rank adaptation matrix is sufﬁcient. 6However, we do not expect a small r to work for every task or dataset. Consider the following thought experiment: if the downstream task were in a different language than the one used for pre-training, retraining the entire model (similar to LoRA withr =dmodel) could certainly outperform LoRA with a smallr. 10",1,high,"The passage gives empirical justification for low intrinsic rank: very small ranks perform competitively, and larger ranks do not capture more meaningful subspaces. It also supports LoRA’s use of a low-rank adaptation matrix, though it does not fully describe the parameterization mechanics."
8,"How does ReAct combine reasoning and acting, and why does this provide an advantage over approaches that perform reasoning without interacting with external environments?",ReAct: Synergizing Reasoning and Acting in Language Models,2,"In this work, we present ReAct, a general paradigm to combine reasoning and acting with language models for solving diverse language reasoning and decision making tasks (Figure 1). ReAct prompts LLMs to generate both verbal reasoning traces and actions pertaining to a task in an interleaved manner, which allows the model to perform dynamic reasoning to create, maintain, and adjust high-level plans for acting (reason to act), while also interact with the external environments (e.g. Wikipedia) to incorporate additional information into reasoning (act to reason). 2",1,high,"The passage directly explains that ReAct interleaves verbal reasoning traces with actions, enabling dynamic plan adjustment and external information gathering, which gives it an advantage over reasoning-only approaches."
8,"How does ReAct combine reasoning and acting, and why does this provide an advantage over approaches that perform reasoning without interacting with external environments?",ReAct: Synergizing Reasoning and Acting in Language Models,3,"perform extensive experiments across diverse benchmarks to showcase the advantage of ReAct in a few-shot learning setup over prior approaches that perform either reasoning or action generation in isolation; (3) we present systematic ablations and analysis to understand the importance of acting in reasoning tasks, and reasoning in interactive tasks; (4) we analyze the limitations ofReAct under the prompting setup (i.e. limited support of reasoning and acting behaviors), and perform initial ﬁnetuning experiments showing the potential of ReAct to improve with additional training data. Scaling up ReAct to train and operate on more tasks and combining it with complementary paradigms like reinforcement learning could further unlock the potential of large language models. 2 REAC T: S YNERGIZING REASONING + AC TING Consider a general setup of an agent interacting with an environment for task solving. At time",0,high,"The passage asserts that ReAct combines reasoning and acting and reports experiments on its advantages, but it does not explain how the combination works or why environmental interaction improves upon reasoning-only approaches."
8,"How does ReAct combine reasoning and acting, and why does this provide an advantage over approaches that perform reasoning without interacting with external environments?",ReAct: Synergizing Reasoning and Acting in Language Models,2,"environments (Ahn et al., 2022; Nakano et al., 2021; Yao et al., 2020; Huang et al., 2022a), with a focus on predicting actions via language priors. These approaches usually convert multi-modal observations into text, use a language model to generate domain-speciﬁc actions or plans, and then use a controller to choose or execute them. However, they do not employ language models to reason abstractly about high-level goals or maintain a working memory to support acting, barring Huang et al. (2022b) who perform a limited form of verbal reasoning to reiterate spatial facts about the current state. Beyond such simple embodied tasks to interact with a few blocks, there have not been studies on how reasoning and acting can be combined in a synergistic manner for general task solving, and if such a combination can bring systematic beneﬁts compared to reasoning or acting alone. In this work, we present ReAct, a general paradigm to combine reasoning and acting with language",1,medium,"The passage introduces ReAct as a paradigm that synergistically combines reasoning and acting and contrasts it with approaches lacking high-level reasoning and working memory, but it does not fully explain the mechanism or its advantage over reasoning-only methods."
9,"What does Chain-of-Thought prompting reveal about the relationship between model scale, intermediate reasoning steps, and performance on complex reasoning tasks?",Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,16,"A Frequently Asked Questions A.1 Why does increasing model scale improve chain-of-thought prompting? The ﬁnding that successful chain-of-thought reasoning predictably emerges only at certain model scales is intriguing. Scaling up language models has been shown to confer beneﬁts such as improved performance and sample efﬁciency (Kaplan et al., 2020), but chain-of-thought reasoning is emergent in the sense that its success cannot be predicted only by extrapolating the performance of small scale models, as chain of thought actually hurts performance for most models smaller than 10B parameters. The question of why model scale improves chain-of-thought prompting is certainly multi-faceted, and we made a preliminary attempt to shed insight into it via error analysis. This small analysis involved manually reading 45 errors made by PaLM 62B and categorizing them into semantic understanding (20 errors), one step missing (18 errors), and other errors (7 errors). The “other category” included",1,high,"The passage directly explains that chain-of-thought reasoning emerges at larger model scales, improves complex reasoning performance, and can hurt performance in models below roughly 10B parameters, while also discussing errors in intermediate reasoning steps."
9,"What does Chain-of-Thought prompting reveal about the relationship between model scale, intermediate reasoning steps, and performance on complex reasoning tasks?",Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,9,"experiments on commonsense reasoning underscored how the linguistic nature of chain-of-thought reasoning makes it generally applicable (Section 4). Finally, we showed that for symbolic reasoning, chain-of-thought prompting facilitates OOD generalization to longer sequence lengths (Section 5). In all experiments, chain-of-thought reasoning is elicited simply by prompting an off-the-shelf language model. No language models were ﬁnetuned in the process of writing this paper. The emergence of chain-of-thought reasoning as a result of model scale has been a prevailing theme (Wei et al., 2022b). For many reasoning tasks where standard prompting has a ﬂat scaling curve, chain- of-thought prompting leads to dramatically increasing scaling curves. Chain-of-thought prompting appears to expand the set of tasks that large language models can perform successfully—in other words, our work underscores that standard prompting only provides a lower bound on the capabilities",1,high,"The passage directly links chain-of-thought reasoning to model scale and explains that eliciting intermediate reasoning produces sharply improving performance with scale on tasks where standard prompting remains flat, including complex and out-of-distribution reasoning."
9,"What does Chain-of-Thought prompting reveal about the relationship between model scale, intermediate reasoning steps, and performance on complex reasoning tasks?",Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,3,"intermediate steps, which means that additional computation can be allocated to problems that require more reasoning steps. 2. Second, a chain of thought provides an interpretable window into the behavior of the model, suggesting how it might have arrived at a particular answer and providing opportunities to debug where the reasoning path went wrong (although fully characterizing a model’s computations that support an answer remains an open question). 3. Third, chain-of-thought reasoning can be used for tasks such as math word problems, commonsense reasoning, and symbolic manipulation, and is potentially applicable (at least in principle) to any task that humans can solve via language. 4. Finally, chain-of-thought reasoning can be readily elicited in sufﬁciently large off-the-shelf language models simply by including examples of chain of thought sequences into the exemplars of few-shot prompting.",1,high,"The passage explains that intermediate reasoning steps allocate more computation to harder problems and that chain-of-thought reasoning emerges when prompted in sufficiently large models, supporting the relationship among scale, reasoning steps, and complex-task performance."
10,"What limitations of RAG are identified by the authors, and how do these limitations affect the reliability or usefulness of the generated answers?",Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,5,"4 Results 4.1 Open-domain Question Answering Table 1 shows results for RAG along with state-of-the-art models. On all four open-domain QA tasks, RAG sets a new state of the art (only on the T5-comparable split for TQA). RAG combines the generation ﬂexibility of the “closed-book” (parametric only) approaches and the performance of ""open-book"" retrieval-based approaches. Unlike REALM and T5+SSM, RAG enjoys strong results without expensive, specialized “salient span masking” pre-training [20]. It is worth noting that RAG’s retriever is initialized using DPR’s retriever, which uses retrieval supervision on Natural Questions and TriviaQA. RAG compares favourably to the DPR QA system, which uses a BERT-based “cross- encoder” to re-rank documents, along with an extractive reader. RAG demonstrates that neither a re-ranker nor extractive reader is necessary for state-of-the-art performance. There are several advantages to generating answers even when it is possible to extract them. Docu-",0,high,The passage reports RAG's strong performance and advantages rather than identifying limitations or explaining how they affect answer reliability or usefulness.
10,"What limitations of RAG are identified by the authors, and how do these limitations affect the reliability or usefulness of the generated answers?",Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,6,"even when the correct answer is not in any retrieved document, achieving 11.8% accuracy in such cases for NQ, where an extractive model would score 0%. 4.2 Abstractive Question Answering As shown in Table 2, RAG-Sequence outperforms BART on Open MS-MARCO NLG by 2.6 Bleu points and 2.6 Rouge-L points. RAG approaches state-of-the-art model performance, which is impressive given that (i) those models access gold passages with speciﬁc information required to generate the reference answer , (ii) many questions are unanswerable without the gold passages, and (iii) not all questions are answerable from Wikipedia alone. Table 3 shows some generated answers from our models. Qualitatively, we ﬁnd that RAG models hallucinate less and generate factually correct text more often than BART. Later, we also show that RAG generations are more diverse than BART generations (see §4.5). 4.3 Jeopardy Question Generation",1,high,"The passage identifies retrieval and knowledge-coverage limitations: correct answers may be absent from retrieved documents, some questions require gold passages, and some cannot be answered from Wikipedia. These limitations constrain answerability and reliability, although RAG can sometimes answer correctly and hallucinates less than BART."
10,"What limitations of RAG are identified by the authors, and how do these limitations affect the reliability or usefulness of the generated answers?",Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,7,"RAG-S This 14th century work is divided into 3 sections: ""Inferno"", ""Purgatorio"" & ""Paradiso"" For 2-way classiﬁcation, we compare against Thorne and Vlachos [57], who train RoBERTa [35] to classify the claim as true or false given the gold evidence sentence. RAG achieves an accuracy within 2.7% of this model, despite being supplied with only the claim and retrieving its own evidence. We also analyze whether documents retrieved by RAG correspond to documents annotated as gold evidence in FEVER. We calculate the overlap in article titles between the topk documents retrieved by RAG and gold evidence annotations. We ﬁnd that the top retrieved document is from a gold article in 71% of cases, and a gold article is present in the top 10 retrieved articles in 90% of cases. 4.5 Additional Results Generation Diversity Section 4.3 shows that RAG models are more factual and speciﬁc than BART for Jeopardy question generation. Following recent work on diversity-promoting decoding",1,medium,"The passage provides evidence of imperfect retrieval: the top document matches gold evidence only 71% of the time, and even the top 10 miss gold articles in 10% of cases. This supports a limitation that unreliable evidence retrieval can reduce answer accuracy, though the effect is not explicitly discussed."
